nom;quantite;unite;stock_odoo;compte_par;compte_le;envoye_le
"MP- Nutella 3kg";"0";"kg";"12";"YASMINA BENATTABOU";"2026-09-02T09:34:37.132+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- CMC";"0";"kg";"0.5";"YASMINA BENATTABOU";"2026-09-02T09:35:01.391+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Huile de tournesol";"0";"kg";"543.81";"YASMINA BENATTABOU";"2026-09-02T09:35:16.485+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Moutarde";"0";"g";"-343.34";"YASMINA BENATTABOU";"2026-09-02T09:35:26.309+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Oreo (550g)";"0";"kg";"4.94";"YASMINA BENATTABOU";"2026-09-02T09:35:33.147+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Paprika";"0";"g";"-75";"YASMINA BENATTABOU";"2026-09-02T09:35:43.532+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Yaourt Nature";"0";"g";"-1888.34";"YASMINA BENATTABOU";"2026-09-02T09:35:46.724+00:00";"2026-09-03T21:13:17.195+00:00"
"SM Fourrage Sellou CD";"0";"g";"338";"YASMINA BENATTABOU";"2026-09-02T09:36:12.06+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Cigare amande Classique";"0";"Units";"-42";"YASMINA BENATTABOU";"2026-09-02T09:37:15.832+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Cigare amande gingembre";"0";"Units";"1408";"YASMINA BENATTABOU";"2026-09-02T09:37:17.176+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Chebakia";"0";"Units";"1528";"YASMINA BENATTABOU";"2026-09-02T09:37:24.491+00:00";"2026-09-03T21:13:17.195+00:00"
"SM-Biscuit Café";"0";"g";"7790";"YASMINA BENATTABOU";"2026-09-02T09:37:33.854+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Chocolat guimauve kg";"0";"kg";"-4.5";"YASMINA BENATTABOU";"2026-09-02T09:37:35.393+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Chocolat Vrac kg";"0";"kg";"-115.18";"YASMINA BENATTABOU";"2026-09-02T09:37:58.839+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit chocolat Gianduja";"2600";"g";"5163.08";"YASMINA BENATTABOU";"2026-09-02T09:40:19.078+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit pistache plaque";"0";"Units";"2.07";"YASMINA BENATTABOU";"2026-09-02T09:40:29.679+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Creme au beurre praline production";"0";"g";"4000";"YASMINA BENATTABOU";"2026-09-02T09:46:25.411+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Voile mangue passion";"1145";"g";"585";"YASMINA BENATTABOU";"2026-09-02T09:48:11.595+00:00";"2026-09-03T21:13:17.195+00:00"
"SMT. creme patissiere cbs";"0";"g";"240";"YASMINA BENATTABOU";"2026-09-02T09:48:23.844+00:00";"2026-09-03T21:13:17.195+00:00"
"SMT. creme patissiere praline";"0";"g";"280";"YASMINA BENATTABOU";"2026-09-02T09:48:31.882+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Sirop d'imbibage cafe Tiramisu";"0";"g";"-3520";"YASMINA BENATTABOU";"2026-09-02T09:48:41.255+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Sirop Imbibage cake citron production";"0";"g";"466.66";"YASMINA BENATTABOU";"2026-09-02T09:48:45.534+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Plaque brownies";"1";"Units";"1452";"YASMINA BENATTABOU";"2026-09-02T09:49:07.04+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. mini financier nature";"0";"Units";"671";"YASMINA BENATTABOU";"2026-09-02T09:49:24.784+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. mini financier café";"0";"Units";"329";"YASMINA BENATTABOU";"2026-09-02T09:49:28.65+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Mini Cookies";"0";"Units";"234";"YASMINA BENATTABOU";"2026-09-02T09:49:41.26+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. creme citron Production";"5210";"g";"17207.9";"YASMINA BENATTABOU";"2026-09-02T09:55:46.542+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. creme patissiere cbs finition";"0";"g";"940";"YASMINA BENATTABOU";"2026-09-02T09:55:50.216+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. creme patissiere Chocolat Production";"0";"g";"5820";"YASMINA BENATTABOU";"2026-09-02T09:55:56.963+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. creme patissiere praline Finition";"0";"g";"150";"YASMINA BENATTABOU";"2026-09-02T09:56:00.47+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Cremeux a la vanille 10 pers Production";"2";"Units";"23";"YASMINA BENATTABOU";"2026-09-02T09:56:09.282+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Farce Cigare amande Classique";"0";"kg";"2734";"YASMINA BENATTABOU";"2026-09-02T09:57:25.252+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. ganache chocolat ivoire sapin";"0";"g";"3571";"YASMINA BENATTABOU";"2026-09-02T09:57:39.474+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Ganache Montée Sapin";"0";"g";"-5162";"YASMINA BENATTABOU";"2026-09-02T09:57:43.818+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Mini cakes CITRON";"40";"cl";"6";"YASMINA BENATTABOU";"2026-09-02T10:57:47.911+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- 15 cm Vitrine (Praliné Amandes caramélisées)";"14";"Units";"14";"Layla";"2026-09-07T10:50:18.525+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chocolat Weiss Gianduja";"2.204";"kg";"2.35";"YASMINA BENATTABOU";"2026-09-02T10:15:13.786+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Lait UHT";"13.738";"kg";"330.74";"YASMINA BENATTABOU";"2026-09-02T10:37:39.566+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Crème pâtissière Meggle";"7.363";"kg";"15";"YASMINA BENATTABOU";"2026-09-02T10:38:40.874+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. sirop tatin";"1200";"g";"1024";"YASMINA BENATTABOU";"2026-09-02T10:39:17.989+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. caramel beurre sale production";"1600";"g";"1744.11";"YASMINA BENATTABOU";"2026-09-02T11:43:14.794+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. caramel tatin";"0";"g";"3500";"YASMINA BENATTABOU";"2026-09-02T12:11:51.091+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Glacage pistache Finition";"8948";"g";"5571";"YASMINA BENATTABOU";"2026-09-02T09:58:09.254+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Glacage Rose Finition";"10641";"g";"19063";"YASMINA BENATTABOU";"2026-09-02T09:58:19.6+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Praliné Maison Pistache";"0";"kg";"1589.51";"YASMINA BENATTABOU";"2026-09-02T10:00:57.797+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. praline duja";"0";"g";"1800";"YASMINA BENATTABOU";"2026-09-02T10:00:59.892+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Sable Crispy";"2636";"g";"4690";"YASMINA BENATTABOU";"2026-09-02T10:02:44.841+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. pate de vanille maison copie";"0";"kg";"15.81";"YASMINA BENATTABOU";"2026-09-02T10:03:01.6+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. pate sable (Tarte)";"6017";"g";"4927";"YASMINA BENATTABOU";"2026-09-02T10:04:07.491+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chocolat Valrhona Jivara";"5.659";"kg";"-8.26";"YASMINA BENATTABOU";"2026-09-02T10:05:55.294+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chocolat Valrhona Guanaja";"4.225";"kg";"43.99";"YASMINA BENATTABOU";"2026-09-02T10:06:09.002+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chocolat Callebaut Couverture Gold";"4.844";"kg";"-67549.93";"YASMINA BENATTABOU";"2026-09-02T10:06:22.121+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Beurre Centrale";"0";"g";"22500";"YASMINA BENATTABOU";"2026-09-02T10:09:56.56+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Beurre entremets";"51.675";"kg";"-10798.9";"YASMINA BENATTABOU";"2026-09-02T10:10:44.437+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Chantilly à la Rose";"2465";"g";"4040";"YASMINA BENATTABOU";"2026-09-02T10:18:46.993+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Cremeux pistache 10 pers Production";"20";"Units";"22";"YASMINA BENATTABOU";"2026-09-02T10:19:25.307+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Cremeux gianduja 10 pers Production";"2";"Units";"23";"YASMINA BENATTABOU";"2026-09-02T10:19:39.094+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Cremeux gianduja indiv Production";"150";"Units";"151";"YASMINA BENATTABOU";"2026-09-02T10:25:42.75+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Cremeux a la vanille indiv Gianduja Production";"150";"Units";"151";"YASMINA BENATTABOU";"2026-09-02T10:26:18.128+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. crunchy citron passion";"0";"kg";"11.28";"YASMINA BENATTABOU";"2026-09-02T10:29:12.604+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. glacage mirroir Finition";"0";"g";"4060";"YASMINA BENATTABOU";"2026-09-02T10:30:01.484+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Flocage Blanc finition";"420";"g";"1953";"YASMINA BENATTABOU";"2026-09-02T10:30:33.037+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Crème whipping";"22";"kg";"119.65";"YASMINA BENATTABOU";"2026-09-02T10:34:11.091+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Fromage Vache qui rit";"0";"kg";"-1.2";"YASMINA BENATTABOU";"2026-09-02T10:35:15.506+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Fromage Milky food";"21.4";"kg";"4.75";"YASMINA BENATTABOU";"2026-09-02T10:37:18.776+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Oeufs plateau (30 pièces)";"0";"Units";"65.14";"YASMINA BENATTABOU";"2026-09-02T10:41:44.232+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Vinaigre";"0";"kg";"1";"YASMINA BENATTABOU";"2026-09-02T10:41:55.031+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Fromage EDAM";"0";"kg";"-1.3";"YASMINA BENATTABOU";"2026-09-02T10:41:59.813+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Chips de coco";"0";"g";"1340";"YASMINA BENATTABOU";"2026-09-02T10:42:36.922+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. craquelin";"0";"g";"555";"YASMINA BENATTABOU";"2026-09-02T10:42:44.938+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Craquant Royal";"0";"g";"435.5";"YASMINA BENATTABOU";"2026-09-02T10:42:56.608+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Mascarpone";"14.107";"kg";"74.92";"YASMINA BENATTABOU";"2026-09-02T10:48:27.867+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Cremeux citron Production";"0";"g";"128.47";"YASMINA BENATTABOU";"2026-09-02T10:52:35.775+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Crumble pistache +cheese exotique nv";"1.25";"kg";"5.38";"YASMINA BENATTABOU";"2026-09-02T11:03:07.594+00:00";"2026-09-03T21:13:17.195+00:00"
